id,brand,title,price,mrp,discount,category,occasion,fabric,colour,sizes,season,style,age,rating,reviewCount
"278","Mango","Mango Silk Culottes for Women","12650","14200","11","Bottom","date-night","silk","Navy | Coral | Ivory | Mustard","30 | 28 | 36 | 34 | 26 | 24","summer","cottagecore","young-adult","4.7","2158"
"279","Uniqlo","Uniqlo Distressed Linen Denim Shorts for Women","9350","10750","13","Bottom","date-night","linen","Black | Pink","XL | XS | XXL | S | L","monsoon","k-fashion","adult","4.2","1773"
"280","ONLY","ONLY Denim Culottes for Women","2400","2600","8","Bottom","date-night","denim","Red | Blue | Pink | Beige | Olive","30 | 24 | 36 | 32 | 26","autumn","ethnic","mid-adult","4","9767"
"281","BIBA","BIBA Chiffon Culottes for Women","2000","2150","8","Bottom","date-night","chiffon","Lavender | Teal | Black","24 | 26 | 36 | 32 | 30 | 28","winter","minimalist","mature","3.3","9885"
"282","W for Woman","W for Woman Velvet Layered Skirt for Women","4750","5300","10","Bottom","date-night","velvet","Navy | Blue | Coral","30 | 24 | 28 | 26","all seasons","boho","senior","4.6","8030"
"283","FabIndia","FabIndia Georgette High-Slit Maxi Skirt for Women","14400","16750","14","Bottom","date-night","georgette","Beige | Lavender","28 | 24 | 26 | 36","spring","streetwear","teen","4.7","8527"
"284","Gucci","Gucci Striped Knit Shorts for Women","323950","356000","9","Bottom","date-night","knit","Blush | Yellow | Coral","32 | 24 | 34 | 30 | 28 | 26 | 36","summer","classic","young-adult","4.6","12314"
"285","Louis Vuitton","Louis Vuitton Rayon Track Pants for Women","921950","1002100","8","Bottom","date-night","rayon","Mustard | Coral | Beige | Blue | Peach","26 | 32 | 24 | 36 | 30 | 34","monsoon","romantic","adult","4.6","7660"
"286","Forever 21","Forever 21 Flared Satin Skirt for Women","3200","3750","15","Bottom","date-night","satin","Blush | Green | Blue","32 | 24 | 26 | 30 | 36 | 28","autumn","edgy","mid-adult","3.8","1771"
"287","H&M","H&M Polyester Shirt Dress for Women","5900","6800","13","Dress","date-night","polyester","Pink | Yellow | Burgundy | White | Cobalt","L | XS | XXL | S","winter","preppy","mature","3.5","6095"
"288","Zara","Zara Sequin Viscose Cocktail Dress for Women","14950","15750","5","Dress","date-night","viscose","Yellow | Cobalt | Blue","S | XS | XL","all seasons","cottagecore","senior","4.5","13051"
"289","Mango","Mango Halter Cotton Backless Dress for Women","15600","17750","12","Dress","date-night","cotton","Mustard | Ivory | Peach","XS | XL | XXL | L","spring","k-fashion","teen","4.3","10663"
"290","Uniqlo","Uniqlo Off-Shoulder Silk Mini Dress for Women","8750","9700","10","Dress","date-night","silk","Olive | Teal | Blue | Blush | Mustard","XXL | L | M","summer","ethnic","young-adult","3.5","5048"
"291","ONLY","ONLY Vintage Linen Tea Dress for Women","6500","7300","11","Dress","date-night","linen","Blue | Ivory | Red","S | XS | XXL | L | M","monsoon","minimalist","adult","3.8","13769"
"292","BIBA","BIBA Vintage Denim Tea Dress for Women","9050","10400","13","Dress","date-night","denim","Pink | Blue | Red | Blush","L | M | XL | XXL | S","autumn","boho","mid-adult","4.8","3768"
"293","W for Woman","W for Woman Ruched Chiffon Evening Dress for Women","6750","7250","7","Dress","date-night","chiffon","Black | Cobalt | White | Pink","XXL | L | S | XL | M | XS","winter","streetwear","mature","3.5","11298"
"294","FabIndia","FabIndia Velvet Pleated Sundress for Women","9400","10350","9","Dress","date-night","velvet","Olive | Pink","L | S | XXL | XS | XL | M","all seasons","classic","senior","3.5","1433"
"295","Gucci","Gucci Balloon Sleeve Georgette Dress for Women","200450","227800","12","Dress","date-night","georgette","Mustard | Red | Blue | Blush | Green","XXL | M | XL | L","spring","romantic","teen","4.1","9844"
"296","Louis Vuitton","Louis Vuitton Embroidered Knit Anarkali for Women","319450","339850","6","Dress","date-night","knit","White | Teal","XS | M | XXL | L | S","summer","edgy","young-adult","4.4","2536"
"297","Forever 21","Forever 21 Rayon Shirt Dress for Women","1850","2000","7","Dress","date-night","rayon","Cobalt | Black | White | Mint | Beige","XS | M | XXL | S | L","monsoon","preppy","adult","4.2","3962"
"298","H&M","H&M Satin Saree with Blouse for Women","3600","4050","11","Ethnic Set","date-night","satin","Yellow | Teal | Black | Peach | Mustard","XL | L | M | S | XS","autumn","cottagecore","mid-adult","4.7","13782"
"299","Zara","Zara Polyester Kurta with Palazzo Set for Women","1650","1800","8","Ethnic Set","date-night","polyester","Lavender | Ivory | Peach | Red | Mint","XXL | XS | S | M | L","winter","k-fashion","mature","4","10989"
"300","Mango","Mango Viscose Salwar Kameez Set for Women","4350","4850","10","Ethnic Set","date-night","viscose","Mustard | Yellow | Red | Cobalt | Ivory","XL | L | XXL | M","all seasons","ethnic","senior","3.3","14081"
"301","Uniqlo","Uniqlo Cotton Bridal Lehenga Set for Women","2350","2750","14","Ethnic Set","date-night","cotton","Mint | Beige | Peach","XS | S | M | XL","spring","minimalist","teen","4.7","13943"
"302","ONLY","ONLY Embroidered Silk Ethnic Set for Women","4350","4850","10","Ethnic Set","date-night","silk","Yellow | Beige | Mint | Teal","XS | S | XXL | M","summer","boho","young-adult","3.4","5492"
"303","BIBA","BIBA Linen Kaftan with Pants for Women","8500","8950","5","Ethnic Set","date-night","linen","Mint | Beige | Blush | Ivory | Teal","S | XS | XL","monsoon","streetwear","adult","3.8","8154"
"304","W for Woman","W for Woman Denim Kaftan with Pants for Women","6800","7800","13","Ethnic Set","date-night","denim","Navy | Lavender | Black | Teal","XXL | XL | L | M | S","autumn","classic","mid-adult","3.9","8537"
"305","FabIndia","FabIndia Chiffon Straight Kurta with Dupatta for Women","8750","9200","5","Ethnic Set","date-night","chiffon","Coral | Black | White","XS | L | S | M | XL","winter","romantic","mature","5","12643"
"306","Gucci","Gucci Velvet Salwar Kameez Set for Women","182100","200100","9","Ethnic Set","date-night","velvet","Red | Blue | White","S | L | XL","all seasons","edgy","senior","4","799"
"307","Louis Vuitton","Louis Vuitton Georgette Saree with Blouse for Women","613550","652700","6","Ethnic Set","date-night","georgette","Olive | Black | Ivory","L | M | XL | S | XS | XXL","spring","preppy","teen","4.2","7927"
"308","Forever 21","Forever 21 Knit Indo-Western Fusion Set for Women","600","650","8","Ethnic Set","date-night","knit","Yellow | Red","XL | XXL | XS","summer","cottagecore","young-adult","4.8","2120"
"309","H&M","H&M Rayon Bomber Jacket for Women","4650","5300","12","Outerwear","date-night","rayon","Mint | Ivory | Beige | Teal | Burgundy","XS | Petite | S | XL","monsoon","k-fashion","adult","4.7","12303"
"310","Zara","Zara Satin Blazer for Women","900","1000","8","Outerwear","date-night","satin","Olive | Ivory | Red | Blue","XS | M | XL | XXL | Plus Size | L","autumn","ethnic","mid-adult","4.7","6948"
"311","Mango","Mango Polyester Trench Coat for Women","7550","8100","7","Outerwear","date-night","polyester","Coral | Pink | Yellow","XL | XXL | XS | S | M","winter","minimalist","mature","3.9","12054"
"312","Uniqlo","Uniqlo Viscose Puffer Jacket for Women","7150","8150","12","Outerwear","date-night","viscose","Burgundy | Blue | Blush | Red","M | S | Plus Size | XS | L","all seasons","boho","senior","3.8","11752"
"313","ONLY","ONLY Cotton Cape Jacket for Women","750","850","13","Outerwear","date-night","cotton","Black | Blue","S | L | XS | XL | M","spring","streetwear","teen","4.9","3273"
"314","BIBA","BIBA Silk Trench Coat for Women","11100","12900","14","Outerwear","date-night","silk","Yellow | Beige | Coral | Blush","XL | Petite | XS | Plus Size | S | L | XXL","summer","classic","young-adult","4.3","4326"
"315","W for Woman","W for Woman Linen Cape Jacket for Women","3900","4150","6","Outerwear","date-night","linen","Teal | Beige | Lavender | Navy","M | Petite | S | XS","monsoon","romantic","adult","4.7","13892"
"316","FabIndia","FabIndia Denim Cape Jacket for Women","12500","14550","14","Outerwear","date-night","denim","Peach | Ivory | Mustard | Green","XS | S | M | L","autumn","edgy","mid-adult","3.8","10544"
"317","Gucci","Gucci Chiffon Trench Coat for Women","398150","462950","14","Outerwear","date-night","chiffon","Beige | Blue","Plus Size | L | M | XXL | S","winter","preppy","mature","4","9166"
"318","Louis Vuitton","Louis Vuitton Velvet Trench Coat for Women","956250","1062500","10","Outerwear","date-night","velvet","Cobalt | Black | White","Petite | XXL | S | L","all seasons","cottagecore","senior","4.7","9281"
"319","Forever 21","Forever 21 Georgette Double-Breasted Coat for Women","850","950","12","Outerwear","date-night","georgette","Black | Peach | White | Beige | Navy","M | Plus Size | S | L | XL | XS","spring","k-fashion","teen","4.2","2271"
"320","H&M","H&M Ruched Knit Playsuit for Women","6450","7250","11","Jumpsuit","date-night","knit","Black | Teal | Beige","Plus Size | XL | L | M | Petite | S","summer","ethnic","young-adult","3.7","10343"
"321","Zara","Zara Halter Neck Rayon Jumpsuit for Women","12300","14000","12","Jumpsuit","date-night","rayon","Coral | Cobalt | Beige | Olive | Pink","M | S | XXL | L | Petite | Plus Size | XS","monsoon","minimalist","adult","3.6","11075"
"322","Mango","Mango Ruched Satin Playsuit for Women","8850","10050","12","Jumpsuit","date-night","satin","Blue | Coral | Burgundy | Red","XL | Petite | XXL | L","autumn","boho","mid-adult","3.4","7861"
"323","Uniqlo","Uniqlo Polyester Strapless Jumpsuit for Women","5200","5800","10","Jumpsuit","date-night","polyester","Burgundy | Blush | Cobalt | Beige | Lavender","M | S | Plus Size | Petite | L | XL | XS","winter","streetwear","mature","3.3","11545"
"324","ONLY","ONLY Viscose Co-ord Set for Women","900","1000","11","Jumpsuit","date-night","viscose","Peach | Black | Mint | Blue","Plus Size | L | M | XXL | S","all seasons","classic","senior","3.4","5702"
"325","BIBA","BIBA Cotton Belted Jumpsuit for Women","9550","11100","14","Jumpsuit","date-night","cotton","Black | Teal | Burgundy | Cobalt | Peach","L | M | XXL | S | Petite | XL","spring","romantic","teen","3.7","9339"
"326","W for Woman","W for Woman Halter Neck Silk Jumpsuit for Women","9750","11350","14","Jumpsuit","date-night","silk","Blue | Blush | Olive | Peach","XS | S | XXL | Petite | M | L","summer","edgy","young-adult","4.1","2685"
"327","FabIndia","FabIndia Linen Strapless Jumpsuit for Women","8600","9150","6","Jumpsuit","date-night","linen","Yellow | Mint | Cobalt","XL | Petite | S | XS | M | L","monsoon","preppy","adult","3.6","10403"
"328","Gucci","Gucci Printed Denim Romper for Women","409000","435100","6","Jumpsuit","date-night","denim","White | Beige | Peach","XL | L | XXL | M | S","autumn","cottagecore","mid-adult","4.3","8117"
"329","Louis Vuitton","Louis Vuitton Chiffon Wide-Leg Jumpsuit for Women","299750","336800","11","Jumpsuit","date-night","chiffon","Ivory | Lavender","L | Plus Size | XXL | M | XL | S | XS","winter","k-fashion","mature","3.3","11571"
"330","Forever 21","Forever 21 Printed Velvet Romper for Women","1600","1850","14","Jumpsuit","date-night","velvet","Navy | Olive","XXL | Petite | S | XS | XL","all seasons","ethnic","senior","3.4","9620"
"331","H&M","H&M Sheer Georgette Overlay Top for Women","6700","7450","10","Top","casual","georgette","Black | Blush","XS | S | L | M","spring","minimalist","teen","5","1513"
"332","Zara","Zara Knit Off-Shoulder Blouse for Women","8700","9550","9","Top","casual","knit","Mint | Navy | Beige | Teal | Green","Plus Size | XS | S | M | L | Petite | XL","summer","boho","young-adult","4.2","11465"
"333","Mango","Mango Rayon Peplum Top for Women","6400","7350","13","Top","casual","rayon","Coral | Olive | Peach","L | S | XS | M | Plus Size","monsoon","streetwear","adult","3.7","7476"
"334","Uniqlo","Uniqlo Lace Trim Satin Blouse for Women","900","1000","8","Top","casual","satin","Black | Burgundy | Yellow","Plus Size | L | XS | XXL | S","autumn","classic","mid-adult","4.5","3687"
"335","ONLY","ONLY Solid Polyester Sleeveless Top for Women","1150","1250","8","Top","casual","polyester","Lavender | Mint","Plus Size | XXL | XL | L | M","winter","romantic","mature","4.8","639"
"336","BIBA","BIBA Abstract Print Viscose Top for Women","3900","4450","12","Top","casual","viscose","Blush | Yellow","XS | Plus Size | S | XL | L","all seasons","edgy","senior","3.4","8250"
"337","W for Woman","W for Woman Cotton Wrap Top with Tie-Up for Women","2350","2650","12","Top","casual","cotton","Blue | Mustard | Lavender | Green | Blush","L | XS | S | M | XL | Plus Size | XXL","spring","preppy","teen","3.6","12798"
"338","FabIndia","FabIndia Silk Cold Shoulder Top for Women","9050","9650","6","Top","casual","silk","Pink | Green","XL | Plus Size | XS | L","summer","cottagecore","young-adult","3.7","14800"
"339","Gucci","Gucci Polka Dot Linen Blouse for Women","426500","490250","13","Top","casual","linen","Coral | Pink | Red | Yellow","Petite | XL | XS | Plus Size | XXL | S","monsoon","k-fashion","adult","4.8","7502"
"340","Louis Vuitton","Louis Vuitton Denim Smocked Top for Women","727150","790400","8","Top","casual","denim","Blue | Pink | Teal | Black | Navy","XXL | S | L | XS | Petite | M","autumn","ethnic","mid-adult","3.3","5517"
"341","Forever 21","Forever 21 Chiffon Button-Down Shirt for Women","1850","1950","5","Top","casual","chiffon","Peach | Green | Ivory | Black | Beige","XL | Petite | XS | S | L | M","winter","minimalist","mature","3.3","9958"
"342","H&M","H&M Striped Velvet Shorts for Women","5750","6100","6","Bottom","casual","velvet","Navy | Black | Peach | Yellow","S | XXL | M | L | XL | XS","all seasons","boho","senior","4.3","4858"
"343","Zara","Zara Georgette Cargo Pants for Women","7200","8350","14","Bottom","casual","georgette","Burgundy | Navy | Peach | Cobalt | Lavender","XS | S | M | L | XL","spring","streetwear","teen","3.9","2289"
"344","Mango","Mango Knit Pencil Skirt for Women","9950","10450","5","Bottom","casual","knit","Coral | Pink | Navy | Cobalt","XS | XXL | S | XL | M","summer","classic","young-adult","3.8","3654"
"345","Uniqlo","Uniqlo High-Rise Rayon Jeans for Women","3700","4250","13","Bottom","casual","rayon","Blue | Pink | Navy | Cobalt","XS | M | L | S | XXL","monsoon","romantic","adult","3.7","10980"
"346","ONLY","ONLY Satin High-Slit Maxi Skirt for Women","4950","5750","14","Bottom","casual","satin","Coral | Peach","30 | 24 | 28 | 36 | 32 | 26","autumn","edgy","mid-adult","4.6","6884"
"347","BIBA","BIBA Polyester Palazzo Pants for Women","8450","9600","12","Bottom","casual","polyester","Black | Mint | Ivory","36 | 30 | 34 | 24","winter","preppy","mature","4.7","11521"
"348","W for Woman","W for Woman Viscose Jogger Pants for Women","3850","4200","8","Bottom","casual","viscose","Coral | Mustard | Mint | White","L | S | XXL | M","all seasons","cottagecore","senior","4.3","7619"
"349","FabIndia","FabIndia Cotton Cargo Pants for Women","4200","4450","6","Bottom","casual","cotton","Ivory | Peach | Mint | Burgundy | Coral","36 | 24 | 34 | 28 | 32 | 30","spring","k-fashion","teen","3.5","13935"
"350","Gucci","Gucci Printed Silk Leggings for Women","49550","53850","8","Bottom","casual","silk","Blue | Navy | Mustard","36 | 24 | 34 | 26","summer","ethnic","young-adult","3.7","2976"
"351","Louis Vuitton","Louis Vuitton Linen Palazzo Pants for Women","583850","641600","9","Bottom","casual","linen","Beige | Black | Teal","32 | 30 | 28 | 26 | 24 | 34","monsoon","minimalist","adult","4.3","14391"
"352","Forever 21","Forever 21 Striped Denim Shorts for Women","3650","4200","13","Bottom","casual","denim","Green | Peach | Yellow | Beige | White","M | S | XS | L | XXL","autumn","boho","mid-adult","4.3","3357"
"353","H&M","H&M Printed Chiffon Shift Dress for Women","3950","4650","15","Dress","casual","chiffon","Red | Green | Coral","XS | S | XXL | M | L | XL","winter","streetwear","mature","4.9","7765"
"354","Zara","Zara Velvet Pleated Sundress for Women","6350","7050","10","Dress","casual","velvet","Olive | Black | White | Red | Navy","L | M | S | XL | XS","all seasons","classic","senior","3.3","4874"
"355","Mango","Mango Tiered Georgette Boho Dress for Women","16150","18800","14","Dress","casual","georgette","Blue | Mint | Peach | Coral | Blush","M | S | XXL | XS | XL | L","spring","romantic","teen","4","4941"
"356","Uniqlo","Uniqlo Vintage Knit Tea Dress for Women","2800","3250","14","Dress","casual","knit","Coral | Teal | Pink","XXL | XL | M | L | S | XS","summer","edgy","young-adult","4.2","11272"
"357","ONLY","ONLY Off-Shoulder Rayon Mini Dress for Women","4650","5000","7","Dress","casual","rayon","Burgundy | Teal | Blue","L | XS | XXL | S | M | XL","monsoon","preppy","adult","4","6430"
"358","BIBA","BIBA Satin A-Line Party Dress for Women","5200","6050","14","Dress","casual","satin","Burgundy | Pink | Green | Blue","L | XXL | M | XS","autumn","cottagecore","mid-adult","3.4","14992"
"359","W for Woman","W for Woman Polyester Slip-On Maxi Dress for Women","4450","4950","10","Dress","casual","polyester","Mint | Ivory | Mustard | Red","XXL | XS | S | M | L","winter","k-fashion","mature","4.1","9841"
"360","FabIndia","FabIndia Viscose Puff Sleeve Dress for Women","9450","10150","7","Dress","casual","viscose","Burgundy | Coral | White | Blue","XL | S | XXL | L | XS","all seasons","ethnic","senior","5","12151"
"361","Gucci","Gucci Cotton Ruffled Wrap Dress for Women","55450","60950","9","Dress","casual","cotton","Burgundy | Cobalt | Beige","XS | S | XXL | XL","spring","minimalist","teen","4.9","4665"
"362","Louis Vuitton","Louis Vuitton Silk Puff Sleeve Dress for Women","718850","798700","10","Dress","casual","silk","Mustard | Pink | Coral | Green","M | L | XS | XL | S | XXL","summer","boho","young-adult","4.9","6373"
"363","Forever 21","Forever 21 Linen A-Line Party Dress for Women","2200","2550","14","Dress","casual","linen","Yellow | Beige | Peach | Blue | Blush","XXL | XS | S | XL | M | L","monsoon","streetwear","adult","4.8","2770"
"364","H&M","H&M Denim Straight Kurta with Dupatta for Women","800","900","11","Ethnic Set","casual","denim","Red | White | Blue","XXL | L | M","autumn","classic","mid-adult","3.7","350"
"365","Zara","Zara Embroidered Chiffon Ethnic Set for Women","5250","6200","15","Ethnic Set","casual","chiffon","Ivory | Black | Burgundy | Blue","XL | XXL | XS | S | M | L","winter","romantic","mature","3.7","11218"
"366","Mango","Mango Velvet Anarkali Suit Set for Women","2200","2350","7","Ethnic Set","casual","velvet","Mint | Ivory | Blue","XXL | M | S | L | XS","all seasons","edgy","senior","4.4","12579"
"367","Uniqlo","Uniqlo Georgette Kurti with Churidar for Women","5850","6150","5","Ethnic Set","casual","georgette","Ivory | Pink | Teal | Burgundy | Beige","XS | L | S | XXL","spring","preppy","teen","3.2","2917"
"368","ONLY","ONLY Knit Kaftan with Pants for Women","6750","7200","6","Ethnic Set","casual","knit","Black | Peach | Mustard | Coral","S | XS | XL","summer","cottagecore","young-adult","4.5","3109"
"369","BIBA","BIBA Rayon Gown Style Kurta for Women","10300","12100","15","Ethnic Set","casual","rayon","Olive | Red | Burgundy | Pink","M | XS | XL","monsoon","k-fashion","adult","3.5","12582"
"370","W for Woman","W for Woman Satin Kurta with Palazzo Set for Women","9450","10500","10","Ethnic Set","casual","satin","Beige | Black | White | Blush","S | M | XS | L | XL | XXL","autumn","ethnic","mid-adult","4.5","1744"
"371","FabIndia","FabIndia Polyester Anarkali Suit Set for Women","5300","6250","15","Ethnic Set","casual","polyester","Olive | Yellow | Cobalt | Coral | Red","L | XS | S | M | XL | XXL","winter","minimalist","mature","4.3","1243"
"372","Gucci","Gucci Embroidered Viscose Ethnic Set for Women","120100","126400","5","Ethnic Set","casual","viscose","Black | Cobalt | Coral | Burgundy","XXL | L | S","all seasons","boho","senior","4.7","1635"
"373","Louis Vuitton","Louis Vuitton Cotton Festival Outfit Set for Women","947650","1030050","8","Ethnic Set","casual","cotton","Burgundy | Cobalt | Blue | Pink | Yellow","XS | XXL | S | M | L","spring","streetwear","teen","4.3","8417"
"374","Forever 21","Forever 21 Silk Lehenga Choli for Women","1600","1850","14","Ethnic Set","casual","silk","Blue | Black","XXL | S | XS | M | L","summer","classic","young-adult","4.6","11954"
"375","H&M","H&M Linen Blazer for Women","950","1100","13","Outerwear","casual","linen","Peach | Pink | Blue | Yellow | Green","M | S | L | Plus Size | Petite | XS","monsoon","romantic","adult","4.8","7044"
"376","Zara","Zara Denim Double-Breasted Coat for Women","7400","8600","14","Outerwear","casual","denim","Mint | Red | Teal","XS | S | XXL | Petite","autumn","edgy","mid-adult","4.9","730"
"377","Mango","Mango Chiffon Cape Jacket for Women","3050","3250","6","Outerwear","casual","chiffon","Blue | Blush | Teal | Peach","Plus Size | XS | XXL | Petite | S | M","winter","preppy","mature","4.7","6835"
"378","Uniqlo","Uniqlo Velvet Puffer Jacket for Women","3750","4050","7","Outerwear","casual","velvet","Peach | Red | Beige | Yellow | Teal","XS | XXL | Petite | S | M | L","all seasons","cottagecore","senior","4.8","525"
"379","ONLY","ONLY Georgette Denim Jacket for Women","4000","4450","10","Outerwear","casual","georgette","Cobalt | Beige | Red | Burgundy | Peach","L | XL | Petite | XXL | Plus Size | M","spring","k-fashion","teen","4","8611"
"380","BIBA","BIBA Knit Cape Jacket for Women","6500","7400","12","Outerwear","casual","knit","Mint | Olive | Peach | Burgundy","L | XL | XXL | S","summer","ethnic","young-adult","4.1","4931"
"381","W for Woman","W for Woman Rayon Bomber Jacket for Women","5050","5650","11","Outerwear","casual","rayon","Mint | Pink | Coral","XS | S | M | L | XXL","monsoon","minimalist","adult","3.4","12793"
"382","FabIndia","FabIndia Satin Bomber Jacket for Women","600","650","7","Outerwear","casual","satin","Coral | Black | Mustard","L | XS | S | M | XL | XXL | Petite","autumn","boho","mid-adult","5","14498"
"383","Gucci","Gucci Polyester Trench Coat for Women","36200","39350","8","Outerwear","casual","polyester","Burgundy | Lavender | Olive | Black","S | XS | XXL | L | Petite","winter","streetwear","mature","4.6","12087"
"384","Louis Vuitton","Louis Vuitton Viscose Puffer Jacket for Women","232300","270100","14","Outerwear","casual","viscose","Olive | Green | Black","XL | M | S | Petite | L | Plus Size | XS","all seasons","classic","senior","4.4","10138"
"385","Forever 21","Forever 21 Cotton Denim Jacket for Women","1300","1500","13","Outerwear","casual","cotton","White | Green","XL | M | S | Plus Size","spring","romantic","teen","4.7","1457"
"386","H&M","H&M Off-Shoulder Silk Jumpsuit for Women","7350","7900","7","Jumpsuit","casual","silk","Coral | Green | Mint","M | Petite | S | XS | XL | L","summer","edgy","young-adult","4.5","11029"
"387","Zara","Zara Linen Strapless Jumpsuit for Women","9000","10350","13","Jumpsuit","casual","linen","Blush | Black | Coral","XL | L | Petite | XXL | XS","monsoon","preppy","adult","3.5","3815"
"388","Mango","Mango Denim Co-ord Set for Women","4050","4500","10","Jumpsuit","casual","denim","Navy | Black","XS | S | XXL | M | Plus Size | XL | L","autumn","cottagecore","mid-adult","4.9","6708"
"389","Uniqlo","Uniqlo Chiffon Strapless Jumpsuit for Women","4550","4950","8","Jumpsuit","casual","chiffon","Burgundy | Beige","XS | Petite | S | XXL | L | XL","winter","k-fashion","mature","3.8","12479"
"390","ONLY","ONLY Halter Neck Velvet Jumpsuit for Women","5800","6800","15","Jumpsuit","casual","velvet","Mustard | Burgundy | Red | Peach | Pink","XS | Petite | L | S | M | Plus Size","all seasons","ethnic","senior","3.5","4778"
"391","BIBA","BIBA Georgette Strapless Jumpsuit for Women","9400","10550","11","Jumpsuit","casual","georgette","Red | Mustard | Black | Pink","XXL | XL | Petite | L | M","spring","minimalist","teen","4.6","5163"
"392","W for Woman","W for Woman Printed Knit Romper for Women","10000","11350","12","Jumpsuit","casual","knit","Green | Blue | Beige","XS | S | L | Plus Size | Petite | M | XL","summer","boho","young-adult","4.4","10211"
"393","FabIndia","FabIndia Off-Shoulder Rayon Jumpsuit for Women","9500","10200","7","Jumpsuit","casual","rayon","Mint | Yellow | Blush","XXL | XS | L | M | XL | Petite","monsoon","streetwear","adult","3.4","8061"
"394","Gucci","Gucci Satin Strapless Jumpsuit for Women","467250","530950","12","Jumpsuit","casual","satin","Cobalt | Pink | Mint","L | M | XL | Petite | S","autumn","classic","mid-adult","3.9","969"
"395","Louis Vuitton","Louis Vuitton Polyester Belted Jumpsuit for Women","346700","381000","9","Jumpsuit","casual","polyester","Burgundy | Pink | Lavender | Teal","XL | XS | XXL | Petite | S | L | Plus Size","winter","romantic","mature","4.5","382"
"396","Forever 21","Forever 21 Floral Viscose Playsuit for Women","3400","3800","11","Jumpsuit","casual","viscose","White | Pink","XS | XL | Plus Size | S | M","all seasons","edgy","senior","4.1","8145"
"397","H&M","H&M Cotton Peplum Top for Women","5550","6400","13","Top","ethnic","cotton","Green | Teal","S | M | XXL | Plus Size | XL | Petite","spring","preppy","teen","3.6","12773"
"398","Zara","Zara Silk Smocked Top for Women","10700","11400","6","Top","ethnic","silk","Cobalt | Black | Lavender | Teal","XL | L | Petite | M | S | Plus Size","summer","cottagecore","young-adult","5","6602"
"399","Mango","Mango Polka Dot Linen Blouse for Women","9750","10350","6","Top","ethnic","linen","Beige | Blue | Black | Mustard","XXL | XS | S | M | XL","monsoon","k-fashion","adult","4.9","11478"
"400","Uniqlo","Uniqlo Denim Button-Down Shirt for Women","9800","11550","15","Top","ethnic","denim","Pink | Blush | Beige | Black","XS | S | XXL | Petite | XL | Plus Size | M","autumn","ethnic","mid-adult","4.5","12769"
"401","ONLY","ONLY Chiffon Halter Neck Top for Women","4150","4550","9","Top","ethnic","chiffon","Olive | Mint | Green | Beige","XS | S | XL | M | Petite","winter","minimalist","mature","4.4","12305"
"402","BIBA","BIBA Velvet Wrap Top with Tie-Up for Women","4750","5500","14","Top","ethnic","velvet","Coral | Black | Pink | Mint | Teal","M | Petite | XXL | Plus Size | L | XS","all seasons","boho","senior","4.8","7840"
"403","W for Woman","W for Woman Striped Georgette Shirt for Women","8650","10050","14","Top","ethnic","georgette","Ivory | Coral | Blush | Teal","M | Plus Size | Petite | S | XXL","spring","streetwear","teen","4.3","13566"
"404","FabIndia","FabIndia Abstract Print Knit Top for Women","6400","7100","10","Top","ethnic","knit","Black | Yellow | Blue | Burgundy | Mustard","Plus Size | M | Petite | S | XXL","summer","classic","young-adult","3.7","8170"
"405","Gucci","Gucci Rayon Halter Neck Top for Women","260300","292450","11","Top","ethnic","rayon","Green | Lavender | Beige | Mustard | Ivory","Plus Size | Petite | XS | S | XXL | M","monsoon","romantic","adult","4","9976"
"406","Louis Vuitton","Louis Vuitton Satin V-Neck Fitted Top for Women","857000","952200","10","Top","ethnic","satin","Burgundy | Black | Cobalt | Green","XS | Petite | S | L | Plus Size | XL","autumn","edgy","mid-adult","4.6","10730"
"407","Forever 21","Forever 21 Abstract Print Polyester Top for Women","2200","2350","6","Top","ethnic","polyester","Pink | Burgundy","L | XXL | Plus Size | M | S | Petite | XS","winter","preppy","mature","3.7","3182"
"408","H&M","H&M Pleated Viscose Mini Skirt for Women","7050","7650","8","Bottom","ethnic","viscose","Pink | Peach | Olive | Ivory | Blush","XXL | XL | L | M | S","all seasons","cottagecore","senior","3.9","11983"
"409","Zara","Zara Cotton Jogger Pants for Women","8350","9700","14","Bottom","ethnic","cotton","Beige | Pink | Teal","36 | 32 | 24 | 30 | 34 | 26","spring","k-fashion","teen","3.9","12682"
"410","Mango","Mango Silk Palazzo Pants for Women","3300","3800","13","Bottom","ethnic","silk","White | Red","XXL | XS | L | XL","summer","ethnic","young-adult","4.8","2168"
"411","Uniqlo","Uniqlo Floral Linen Midi Skirt for Women","3050","3600","15","Bottom","ethnic","linen","Mustard | Blue | Ivory | Blush","26 | 32 | 24 | 36 | 34 | 30 | 28","monsoon","minimalist","adult","4.7","5118"
"412","ONLY","ONLY Denim Palazzo Pants for Women","4700","5300","11","Bottom","ethnic","denim","Pink | Beige | Navy | Black | Lavender","24 | 26 | 30 | 32 | 34 | 28 | 36","autumn","boho","mid-adult","4.7","11517"
"413","BIBA","BIBA High-Rise Chiffon Jeans for Women","10950","11900","8","Bottom","ethnic","chiffon","Coral | Black | Navy | Olive | Lavender","L | M | XL | XS | S | XXL","winter","streetwear","mature","4","1149"
"414","W for Woman","W for Woman Striped Velvet Shorts for Women","4150","4600","10","Bottom","ethnic","velvet","Coral | Teal","XXL | S | M | XS","all seasons","classic","senior","3.9","4914"
